YEAR,Player 1,Player 2,Player 3,Player 4,Player 5,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG
2012-2013,Andrei Kirilenko , Luke Ridnour , Greg Stiemsma , Ricky Rubio , Derrick Williams,MIN,15,164,99.1,90.5,8.5
2013-2014,Kevin Martin , Corey Brewer , Kevin Love , Nikola Pekovic , Ricky Rubio,MIN,51,1052,114.6,102.3,12.3
2014-2015,Thaddeus Young , Gorgui Dieng , Shabazz Muhammad , Zach LaVine , Andrew Wiggins,MIN,16,151,100.3,117.8,-17.4
2015-2016,Kevin Garnett , Tayshaun Prince , Ricky Rubio , Andrew Wiggins , Karl-Anthony Towns,MIN,25,276,101.5,93.5,8
2016-2017,Ricky Rubio , Gorgui Dieng , Shabazz Muhammad , Andrew Wiggins , Karl-Anthony Towns,MIN,46,156,121.1,106.6,14.5
2017-2018,Taj Gibson , Jimmy Butler , Andrew Wiggins , Tyus Jones , Karl-Anthony Towns,MIN,21,261,118.8,95.1,23.7
2018-2019,Jeff Teague , Taj Gibson , Robert Covington , Andrew Wiggins , Karl-Anthony Towns,MIN,13,230,105.7,103,2.7
2020-2021,Ricky Rubio , Karl-Anthony Towns , Josh Okogie , Anthony Edwards , Jaden McDaniels,MIN,22,172,107.5,104.5,3
2021-2022,Patrick Beverley , D'Angelo Russell , Karl-Anthony Towns , Jared Vanderbilt , Anthony Edwards,MIN,36,439,120.2,107.4,12.8
2022-2023,Rudy Gobert , Kyle Anderson , D'Angelo Russell ,Anthony Edwards, Jaden McDaniels,MIN,19,253,114.6,101.7,12.9
2023-2024,Mike Conley , Rudy Gobert , Karl-Anthony Towns ,Anthony Edwards, Jaden McDaniels,MIN,38,549,120.1,109.1,11
