Year,MP,Player,FTr,TS.,X3PAr,ORB.,DRB.,AST.,STL.,BLK.,TOV.,USG.,PER,OWS,DWS,WS.48,OBPM,DBPM,VORP,PTS,TRB,AST,STL,BLK,TOV
2012-2013,618,Kevin Love,0.477,0.458,0.309,11.5,35.9,11.8,1.1,1.1,9.8,28.9,17.9,0.1,0.9,0.084,1.4,-1,0.4,18.3,14,2.3,0.7,0.5,2.2
2012-2013,2034,Andrei Kirilenko,0.446,0.59,0.214,5.6,15.1,14.4,2.4,2.4,15.1,17.4,17.6,3.4,2.6,0.142,1.8,1.8,2.9,12.4,5.7,2.8,1.5,1,1.9
2012-2013,1959,Nikola Pekovic,0.437,0.572,0,13,19,4.9,1.1,2,10.3,22.5,20.2,4.6,2.1,0.163,1.7,-1.2,1.2,16.3,8.8,0.9,0.7,0.8,1.6
2012-2013,2474,Luke Ridnour,0.202,0.532,0.261,1.8,7.9,21,1.7,0.5,12.8,18.3,13,2.6,1.8,0.084,-1,0.2,0.8,11.5,2.5,3.8,1,0.2,1.6
2012-2013,1691,Ricky Rubio,0.514,0.482,0.179,2.9,12.9,38.8,4.2,0.2,21.4,21.2,16.2,0.4,2.6,0.085,-0.8,1.9,1.3,10.7,4,7.3,2.4,0.1,3
2012-2013,2010,Dante Cunningham,0.154,0.485,0.009,7.8,15.6,5.7,2.2,1.5,7.3,17.2,13.3,1.1,2.4,0.084,-1.8,0.4,0.3,8.7,5.1,0.8,1.1,0.5,0.7
2012-2013,1916,Derrick Williams,0.346,0.515,0.249,5.6,20.6,4.2,1.2,1.5,10,23.5,14.5,1,2.1,0.076,-0.5,-1,0.2,12,5.5,0.6,0.6,0.5,1.3
2012-2013,122,Brandon Roy,0.286,0.368,0.257,2.7,10.6,28.8,1.3,0,15.1,17,8.3,-0.1,0.1,-0.017,-3.5,-0.8,-0.1,5.8,2.8,4.6,0.6,0,1.4
2012-2013,1840,Alexey Shved,0.236,0.474,0.454,2.5,8.6,25.2,1.5,1.1,17.3,20.6,11,-0.6,1.4,0.02,-1.1,-0.6,0.1,8.6,2.3,3.7,0.7,0.4,1.9
2012-2013,1713,J.J. Barea,0.177,0.51,0.369,2.2,11.9,30.6,1,0,15.1,25.1,14.1,0.8,1,0.053,0.7,-1.3,0.6,11.3,2.8,4,0.4,0,2
2012-2013,508,Chase Budinger,0.22,0.516,0.424,3.3,13,8.3,1.4,1.1,9.9,20.5,12.6,0.3,0.4,0.066,-0.6,-0.8,0.1,9.4,3.1,1.1,0.6,0.3,1
2012-2013,207,Josh Howard,0.156,0.45,0.208,4.8,15.4,3.2,2.5,1.1,10.8,20,9.5,-0.2,0.3,0.009,-3.9,0.1,-0.1,6.7,3.3,0.4,0.9,0.3,0.9
2012-2013,289,Malcolm Lee,0.263,0.46,0.316,5.8,9.8,10.7,2.1,1.6,10.5,14.7,9.8,0.1,0.3,0.059,-2.4,1.1,0,4.9,2.4,1.3,0.8,0.4,0.6
2012-2013,1209,Greg Stiemsma,0.248,0.498,0,5.6,19.5,3.9,1.9,5.8,16.1,13.6,10.5,-0.3,2,0.069,-5.1,2.3,-0.3,4,3.4,0.4,0.6,1.2,0.8
2012-2013,284,Chris Johnson,0.453,0.65,0,7.8,16.6,4.9,1.3,7.6,12.6,16.2,18.4,0.6,0.4,0.176,-1.2,2.8,0.3,3.9,2,0.3,0.2,0.9,0.4
2012-2013,161,Lou Amundson,0.526,0.342,0,15.9,17.6,2.8,2.2,2.9,19,16.1,6.3,-0.4,0.2,-0.038,-6.9,-1,-0.2,1.6,2.4,0.2,0.4,0.3,0.6
2012-2013,31,Lazar Hayward,0.6,0.396,0.4,0,15.2,14.2,3.3,0,0,18.3,11.2,0,0,0.087,-3.7,1.8,0,2.5,1,0.8,0.5,0,0
2012-2013,20,Will Conroy,0.222,0.051,0.333,5.5,0,0,0,0,0,22.1,-15.2,-0.2,0,-0.433,-16.4,-8.5,-0.1,0.3,0.3,0,0,0,0
2013-2014,2797,Kevin Love,0.445,0.591,0.355,8.5,29.5,21.4,1,1,10.3,28.8,26.9,10.6,3.7,0.245,8.3,0.6,7.7,26.1,12.5,4.4,0.8,0.5,2.5
